"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"J7","USB_A_Connfly_DS1095",1,"USB_A",,,
2,"C2,C1","C_Disc_D3.0mm_W1.6mm_P2.50mm",2,"22pF",,,
3,"J6","PinHeader_1x01_P2.54mm_Vertical",1,"~{PSEN}",,,
4,"J3","PinHeader_1x08_P2.54mm_Vertical",1,"P2",,,
5,"J2","PinHeader_1x08_P2.54mm_Vertical",1,"P0",,,
6,"J4","PinHeader_1x08_P2.54mm_Vertical",1,"P3",,,
7,"C4","C_Disc_D5.0mm_W2.5mm_P5.00mm",1,"0.1µF",,,
8,"J5","PinHeader_1x01_P2.54mm_Vertical",1,"ALE",,,
9,"SW1","SW_PUSH_6mm",1,"Reset",,,
10,"J1","PinHeader_1x08_P2.54mm_Vertical",1,"P1",,,
11,"R1","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",1,"10kΩ",,,
12,"Y1","Crystal_HC49-U_Horizontal",1,"11.05920 MHz",,,
13,"C3","CP_Radial_D4.0mm_P2.00mm",1,"10µF",,,
14,"U1","DIP_Socket-40_W11.9_W12.7_W15.24_W17.78_W18.5_3M_240-1280-00-0602J",1,"AT89S52",,,
